"ward" "shift" "year" "month" "cr" "tot" "X" "Y"
"1" 1 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.03273285 38.92952081
"2" 6 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.032009 38.88422702
"3" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.02191749 38.90034533
"4" 7 "MIDNIGHT" 2016 3 "BURGLARY" 1 -76.95385398 38.88362774
"5" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.03556238 38.90253182
"6" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.04254973 38.91409539
"7" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.04773386 38.90724705
"8" 7 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.92742532 38.88418184
"9" 6 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.02652237 38.91409112
"10" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.04664977 38.90674302
"11" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.03325686 38.91557577
"12" 3 "DAY" 2016 3 "THEFT/OTHER" 1 -77.05434095 38.92337809
"13" 2 "DAY" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -77.06692253 38.90465503
"14" 3 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.0758354 38.94397713
"15" 8 "DAY" 2016 3 "THEFT/OTHER" 1 -76.99001232 38.86438548
"16" 6 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.00057863 38.89255515
"17" 5 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -77.00905531 38.90765056
"18" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.02398105 38.90034493
"19" 1 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.03273285 38.92952081
"20" 1 "EVENING" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -77.02294816 38.91483056
"21" 8 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.99954161 38.82920794
"22" 5 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.99376364 38.9215889
"23" 2 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.06477686 38.91009449
"24" 2 "DAY" 2016 3 "THEFT/OTHER" 1 -77.02963303 38.90791065
"25" 2 "DAY" 2016 3 "THEFT/OTHER" 1 -77.06283589 38.90560038
"26" 5 "DAY" 2016 3 "THEFT/OTHER" 1 -76.99731522 38.92650757
"27" 6 "DAY" 2016 3 "THEFT/OTHER" 1 -77.00910022 38.87653375
"28" 3 "DAY" 2016 3 "BURGLARY" 1 -77.06002529 38.94967955
"29" 2 "DAY" 2016 3 "THEFT/OTHER" 1 -77.04058229 38.90134027
"30" 1 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.01795669 38.91986709
"31" 8 "DAY" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -76.99850513 38.8277936
"32" 2 "DAY" 2016 3 "THEFT/OTHER" 1 -77.03967256 38.90315126
"33" 4 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.01616814 38.96554838
"34" 5 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.98272906 38.91648006
"35" 6 "EVENING" 2016 3 "BURGLARY" 1 -77.02192149 38.91335339
"36" 2 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.0641398 38.90685183
"37" 4 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.02459355 38.93815276
"38" 8 "EVENING" 2016 3 "THEFT F/AUTO" 1 -76.96814987 38.84838259
"39" 5 "EVENING" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -76.98413683 38.91193105
"40" 2 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.02397206 38.90791195
"41" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.02704661 38.89783993
"42" 2 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.04576483 38.91113043
"43" 2 "EVENING" 2016 3 "MOTOR VEHICLE THEFT" 1 -77.04009124 38.90964614
"44" 4 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.020384 38.93987415
"45" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.03198003 38.89673066
"46" 5 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.9885294 38.91447192
"47" 3 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.08815052 38.95892223
"48" 6 "MIDNIGHT" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -76.97991269 38.88559896
"49" 2 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -77.03281162 38.90020766
"50" 7 "MIDNIGHT" 2016 4 "THEFT/OTHER" 1 -76.93166713 38.9078674
"51" 5 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.01059911 38.91626466
"52" 4 "MIDNIGHT" 2016 4 "ROBBERY" 1 -77.02823466 38.95781701
"53" 2 "MIDNIGHT" 2016 4 "ROBBERY" 1 -77.03499417 38.90778305
"54" 2 "MIDNIGHT" 2016 4 "THEFT F/AUTO" 1 -77.04360926 38.90993522
"55" 2 "MIDNIGHT" 2016 4 "THEFT F/AUTO" 1 -77.02397206 38.90791195
"56" 8 "MIDNIGHT" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -76.97892226 38.84388982
"57" 8 "MIDNIGHT" 2016 4 "ROBBERY" 1 -76.99679999 38.8432701
"58" 2 "EVENING" 2016 4 "BURGLARY" 1 -77.04010142 38.90724091
"59" 1 "DAY" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -77.04177105 38.92329318
"60" 5 "DAY" 2016 4 "THEFT/OTHER" 1 -76.99376364 38.9215889
"61" 8 "DAY" 2016 4 "ROBBERY" 1 -76.99204279 38.84181951
"62" 5 "DAY" 2016 4 "THEFT/OTHER" 1 -76.99031586 38.92015634
"63" 1 "DAY" 2016 4 "THEFT/OTHER" 1 -77.01467158 38.92639858
"64" 2 "MIDNIGHT" 2016 4 "THEFT F/AUTO" 1 -77.0434369 38.91298704
"65" 2 "DAY" 2016 4 "THEFT/OTHER" 1 -77.05235568 38.90526323
"66" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.06200543 38.90518644
"67" 2 "DAY" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -77.02756518 38.89735336
"68" 8 "EVENING" 2016 4 "ROBBERY" 1 -76.98811129 38.86334933
"69" 1 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.02417742 38.9355044
"70" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.03967256 38.90315126
"71" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.03326563 38.90965729
"72" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.06693977 38.90509363
"73" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.05704833 38.90566641
"74" 1 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.03195527 38.91864798
"75" 5 "EVENING" 2016 4 "THEFT/OTHER" 1 -76.99376364 38.9215889
"76" 1 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.02885825 38.93069291
"77" 1 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.02417386 38.92502774
"78" 3 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.05549959 38.930368
"79" 8 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.01065496 38.82700038
"80" 8 "EVENING" 2016 4 "ROBBERY" 1 -76.99959915 38.83692819
"81" 2 "EVENING" 2016 2 "THEFT/OTHER" 1 -77.04735747 38.89602278
"82" 6 "EVENING" 2016 2 "THEFT/OTHER" 1 -76.99025169 38.8834743
"83" 2 "EVENING" 2016 2 "ASSAULT W/DANGEROUS WEAPON" 1 -77.03196492 38.91446811
"84" 6 "MIDNIGHT" 2016 2 "THEFT F/AUTO" 1 -77.00740405 38.90645482
"85" 1 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.03259384 38.92817861
"86" 5 "EVENING" 2016 8 "ROBBERY" 1 -76.98134798 38.90643555
"87" 3 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.07104709 38.91966671
"88" 2 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.02192752 38.8954628
"89" 4 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.02406929 38.95686307
"90" 6 "EVENING" 2016 8 "THEFT/OTHER" 1 -76.99951809 38.90192385
"91" 5 "EVENING" 2016 8 "MOTOR VEHICLE THEFT" 1 -76.99956416 38.90848193
"92" 5 "EVENING" 2016 8 "THEFT/OTHER" 1 -76.99112134 38.9340202
"93" 2 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.03752812 38.90253283
"94" 1 "MIDNIGHT" 2016 8 "THEFT/OTHER" 1 -77.03259384 38.92817861
"95" 5 "MIDNIGHT" 2016 8 "MOTOR VEHICLE THEFT" 1 -77.00351924 38.91728303
"96" 6 "MIDNIGHT" 2016 8 "BURGLARY" 1 -77.01504786 38.90605772
"97" 5 "MIDNIGHT" 2016 8 "SEX ABUSE" 1 -77.00843093 38.91297679
"98" 4 "MIDNIGHT" 2016 9 "THEFT F/AUTO" 1 -77.01166885 38.97069263
"99" 7 "DAY" 2016 9 "ROBBERY" 1 -76.91680484 38.89866924
"100" 7 "DAY" 2016 9 "BURGLARY" 1 -76.95961061 38.89447596
"101" 8 "DAY" 2016 9 "MOTOR VEHICLE THEFT" 1 -76.9720375 38.8638961
"102" 1 "DAY" 2016 8 "THEFT F/AUTO" 1 -77.03273478 38.93371868
"103" 6 "DAY" 2016 9 "ROBBERY" 1 -77.01063131 38.90021178
"104" 2 "EVENING" 2016 9 "THEFT/OTHER" 1 -77.04086119 38.90520476
"105" 7 "DAY" 2016 9 "BURGLARY" 1 -76.97469975 38.89477748
"106" 8 "DAY" 2016 9 "THEFT F/AUTO" 1 -76.97273709 38.87247227
"107" 2 "EVENING" 2016 8 "THEFT/OTHER" 1 -77.06399993 38.90515834
"108" 1 "EVENING" 2016 4 "BURGLARY" 1 -77.02123412 38.92830734
"109" 2 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.06399993 38.90515834
"110" 4 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.02861968 38.93974631
"111" 4 "EVENING" 2016 4 "BURGLARY" 1 -77.01989791 38.97533076
"112" 7 "EVENING" 2016 4 "THEFT/OTHER" 1 -76.92156284 38.9014471
"113" 2 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.04947342 38.90526448
"114" 6 "EVENING" 2016 4 "THEFT/OTHER" 1 -77.01119545 38.89545531
"115" 8 "EVENING" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -76.99757117 38.8607735
"116" 7 "EVENING" 2016 4 "ROBBERY" 1 -76.94962797 38.89448109
"117" 2 "EVENING" 2016 4 "BURGLARY" 1 -77.06117459 38.90431307
"118" 5 "MIDNIGHT" 2016 4 "ROBBERY" 1 -76.97840763 38.94584643
"119" 5 "MIDNIGHT" 2016 4 "ROBBERY" 1 -76.98363158 38.90289561
"120" 2 "MIDNIGHT" 2016 4 "ROBBERY" 1 -77.03651949 38.91446677
"121" 8 "MIDNIGHT" 2016 4 "ROBBERY" 1 -76.99240121 38.82920769
"122" 8 "DAY" 2016 4 "THEFT F/AUTO" 1 -76.99437078 38.82662237
"123" 2 "DAY" 2016 4 "THEFT/OTHER" 1 -77.06285968 38.90643814
"124" 6 "DAY" 2016 4 "THEFT/OTHER" 1 -76.99025181 38.88254644
"125" 7 "DAY" 2016 4 "THEFT F/AUTO" 1 -76.95041014 38.86372677
"126" 1 "DAY" 2016 4 "THEFT/OTHER" 1 -77.02635338 38.92482909
"127" 6 "DAY" 2016 4 "THEFT F/AUTO" 1 -76.97986362 38.89612073
"128" 3 "DAY" 2016 4 "THEFT F/AUTO" 1 -77.06825096 38.96207942
"129" 2 "DAY" 2016 4 "MOTOR VEHICLE THEFT" 1 -77.07114529 38.91407247
"130" 6 "DAY" 2016 4 "THEFT F/AUTO" 1 -77.01756449 38.87251918
"131" 4 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.02117493 38.96200734
"132" 6 "MIDNIGHT" 2016 5 "THEFT/OTHER" 1 -77.00129299 38.8748897
"133" 1 "EVENING" 2016 1 "THEFT/OTHER" 1 -77.03748997 38.91811484
"134" 8 "MIDNIGHT" 2016 5 "HOMICIDE" 1 -76.99045423 38.83409914
"135" 2 "MIDNIGHT" 2016 5 "THEFT F/AUTO" 1 -77.04487842 38.91334683
"136" 7 "MIDNIGHT" 2016 5 "THEFT F/AUTO" 1 -76.93066782 38.90400223
"137" 7 "MIDNIGHT" 2016 5 "THEFT/OTHER" 1 -76.93476967 38.90664404
"138" 5 "DAY" 2016 5 "THEFT/OTHER" 1 -77.01067868 38.90857153
"139" 7 "DAY" 2016 5 "THEFT F/AUTO" 1 -76.94881211 38.8908864
"140" 7 "DAY" 2016 5 "THEFT/OTHER" 1 -76.95059194 38.9007243
"141" 2 "DAY" 2016 5 "THEFT F/AUTO" 1 -77.05011773 38.90339047
"142" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.06399993 38.90515834
"143" 6 "DAY" 2016 5 "THEFT/OTHER" 1 -77.01063131 38.90021178
"144" 5 "DAY" 2016 5 "THEFT/OTHER" 1 -77.00956334 38.93122757
"145" 7 "DAY" 2016 5 "THEFT/OTHER" 1 -76.92852912 38.8983527
"146" 6 "DAY" 2016 5 "THEFT/OTHER" 1 -77.02092203 38.88660775
"147" 8 "EVENING" 2016 5 "THEFT F/AUTO" 1 -76.99240121 38.82920769
"148" 8 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.98237639 38.85044854
"149" 2 "EVENING" 2016 9 "THEFT/OTHER" 1 -77.04166253 38.91520374
"150" 2 "EVENING" 2016 8 "THEFT F/AUTO" 1 -77.0547522 38.90327128
"151" 4 "EVENING" 2016 9 "THEFT F/AUTO" 1 -77.0257467 38.96928509
"152" 6 "EVENING" 2016 9 "THEFT/OTHER" 1 -77.01179585 38.9013197
"153" 5 "EVENING" 2016 9 "THEFT F/AUTO" 1 -76.97571017 38.94032382
"154" 8 "EVENING" 2016 9 "THEFT/OTHER" 1 -76.99419737 38.83489213
"155" 5 "EVENING" 2016 6 "THEFT/OTHER" 1 -76.9991947 38.95446033
"156" 8 "MIDNIGHT" 2016 2 "THEFT/OTHER" 1 -76.98525315 38.8663398
"157" 2 "DAY" 2016 2 "THEFT F/AUTO" 1 -77.02295503 38.90034513
"158" 3 "DAY" 2016 1 "THEFT/OTHER" 1 -77.07769693 38.93738183
"159" 5 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.01067868 38.90857153
"160" 7 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.93552728 38.91031987
"161" 6 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.01756064 38.90373321
"162" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.03888304 38.91409667
"163" 5 "MIDNIGHT" 2016 3 "ROBBERY" 1 -77.00149054 38.95342438
"164" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.0209259 38.89981402
"165" 6 "MIDNIGHT" 2016 2 "THEFT/OTHER" 1 -77.01764648 38.87787015
"166" 7 "MIDNIGHT" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -76.93601039 38.91159932
"167" 8 "MIDNIGHT" 2016 3 "THEFT F/AUTO" 1 -76.96763926 38.85662517
"168" 7 "MIDNIGHT" 2016 3 "ROBBERY" 1 -76.9255293 38.88975684
"169" 7 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -76.94697752 38.89335387
"170" 4 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -77.02731612 38.96945589
"171" 7 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.92865162 38.90265877
"172" 5 "DAY" 2016 3 "THEFT/OTHER" 1 -76.9931524 38.92221944
"173" 7 "DAY" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -76.92908787 38.89290297
"174" 6 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.99321294 38.89201445
"175" 2 "DAY" 2016 3 "THEFT/OTHER" 1 -77.04169179 38.90606926
"176" 5 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.00188283 38.95493776
"177" 7 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.92938304 38.88584058
"178" 5 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.99716552 38.92094043
"179" 6 "DAY" 2016 3 "THEFT/OTHER" 1 -76.98146595 38.896121
"180" 3 "DAY" 2016 3 "THEFT/OTHER" 1 -77.10568373 38.93278366
"181" 3 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.0781322 38.94513768
"182" 6 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.99497717 38.88323137
"183" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.02885668 38.89831694
"184" 6 "EVENING" 2016 3 "THEFT F/AUTO" 1 -76.99844591 38.90312195
"185" 2 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.04907291 38.9096337
"186" 3 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -77.06224052 38.94998467
"187" 5 "MIDNIGHT" 2016 3 "ROBBERY" 1 -77.01060002 38.9223723
"188" 6 "MIDNIGHT" 2016 3 "THEFT/OTHER" 1 -76.99497717 38.88323137
"189" 5 "DAY" 2016 3 "THEFT/OTHER" 1 -77.00057888 38.92267907
"190" 7 "EVENING" 2016 5 "BURGLARY" 1 -76.92107171 38.88688024
"191" 8 "EVENING" 2016 5 "ROBBERY" 1 -76.98472575 38.85396216
"192" 5 "EVENING" 2016 5 "ROBBERY" 1 -76.98919666 38.92446222
"193" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.01568118 38.90252636
"194" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.06817249 38.91622723
"195" 8 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.99749132 38.83798215
"196" 8 "EVENING" 2016 5 "BURGLARY" 1 -77.01017101 38.82519873
"197" 7 "EVENING" 2016 5 "MOTOR VEHICLE THEFT" 1 -76.94256036 38.86754274
"198" 1 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.02417742 38.9355044
"199" 6 "DAY" 2016 5 "THEFT/OTHER" 1 -76.9855147 38.88347381
"200" 2 "DAY" 2016 5 "THEFT/OTHER" 1 -77.04009124 38.90964614
"201" 8 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.96658321 38.84830108
"202" 6 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.00748457 38.90468918
"203" 1 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.03086144 38.92243177
"204" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.03196205 38.90804516
"205" 7 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.94697752 38.89335387
"206" 4 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.0107214 38.9627024
"207" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.04996762 38.90304822
"208" 7 "EVENING" 2016 5 "BURGLARY" 1 -76.9738695 38.89554301
"209" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.00131615 38.88127665
"210" 8 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.99789419 38.84700863
"211" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.00839448 38.89720317
"212" 6 "EVENING" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -76.99618723 38.8853574
"213" 8 "EVENING" 2016 5 "MOTOR VEHICLE THEFT" 1 -77.00889252 38.82360433
"214" 4 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.02459355 38.93815276
"215" 5 "EVENING" 2016 5 "THEFT F/AUTO" 1 -76.99376364 38.9215889
"216" 8 "EVENING" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -76.9864791 38.84241355
"217" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.02885668 38.89831694
"218" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -76.98077672 38.88712152
"219" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.01568118 38.90252636
"220" 6 "EVENING" 2016 5 "BURGLARY" 1 -77.00906802 38.90517326
"221" 8 "EVENING" 2016 5 "ROBBERY" 1 -76.99287193 38.84392754
"222" 5 "EVENING" 2016 5 "MOTOR VEHICLE THEFT" 1 -76.99845696 38.92504825
"223" 5 "EVENING" 2016 5 "ROBBERY" 1 -76.97933186 38.94107221
"224" 1 "MIDNIGHT" 2016 5 "THEFT/OTHER" 1 -77.04469985 38.92278763
"225" 8 "MIDNIGHT" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -77.01017101 38.82519873
